csp450

VEHICLE
NUMBER     CAPACITY
  1000      1000000

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      0         0         0         0         0         0
    1      1         1         1         2         182         180
    2      2         2         1         2         144         142
    3      3         3         1         9         92         83
    4      4         4         1         11         225         214
    5      5         5         1         11         127         116
    6      6         6         1         16         248         232
    7      7         7         1         17         113         96
    8      8         8         1         23         153         130
    9      9         9         1         26         135         109
    10      10         10         1         28         131         103
    11      11         11         1         29         245         216
    12      12         12         1         32         65         33
    13      13         13         1         33         115         82
    14      14         14         1         34         104         70
    15      15         15         1         40         270         230
    16      16         16         1         43         84         41
    17      17         17         1         45         260         215
    18      18         18         1         49         86         37
    19      19         19         1         49         151         102
    20      20         20         1         53         165         112
    21      21         21         1         59         247         188
    22      22         22         1         62         84         22
    23      23         23         1         68         149         81
    24      24         24         1         70         141         71
    25      25         25         1         78         103         25
    26      26         26         1         82         193         111
    27      27         27         1         94         191         97
    28      28         28         1         99         236         137
    29      29         29         1         100         128         28
    30      30         30         1         104         137         33
    31      31         31         1         104         231         127
    32      32         32         1         108         183         75
    33      33         33         1         114         208         94
    34      34         34         1         115         279         164
    35      35         35         1         121         178         57
    36      36         36         1         123         167         44
    37      37         37         1         126         325         199
    38      38         38         1         127         341         214
    39      39         39         1         128         203         75
    40      40         40         1         130         298         168
    41      41         41         1         131         307         176
    42      42         42         1         132         164         32
    43      43         43         1         136         358         222
    44      44         44         1         148         358         210
    45      45         45         1         150         365         215
    46      46         46         1         151         353         202
    47      47         47         1         152         221         69
    48      48         48         1         156         314         158
    49      49         49         1         161         397         236
    50      50         50         1         167         237         70
    51      51         51         1         171         327         156
    52      52         52         1         176         405         229
    53      53         53         1         184         246         62
    54      54         54         1         186         367         181
    55      55         55         1         186         264         78
    56      56         56         1         188         366         178
    57      57         57         1         189         343         154
    58      58         58         1         191         395         204
    59      59         59         1         193         282         89
    60      60         60         1         197         389         192
    61      61         61         1         197         401         204
    62      62         62         1         197         235         38
    63      63         63         1         201         363         162
    64      64         64         1         205         319         114
    65      65         65         1         205         298         93
    66      66         66         1         205         366         161
    67      67         67         1         208         228         20
    68      68         68         1         211         299         88
    69      69         69         1         214         333         119
    70      70         70         1         214         248         34
    71      71         71         1         218         275         57
    72      72         72         1         218         278         60
    73      73         73         1         219         306         87
    74      74         74         1         220         406         186
    75      75         75         1         221         304         83
    76      76         76         1         223         318         95
    77      77         77         1         233         464         231
    78      78         78         1         236         307         71
    79      79         79         1         237         360         123
    80      80         80         1         239         346         107
    81      81         81         1         240         364         124
    82      82         82         1         245         313         68
    83      83         83         1         248         444         196
    84      84         84         1         254         287         33
    85      85         85         1         255         494         239
    86      86         86         1         257         337         80
    87      87         87         1         269         382         113
    88      88         88         1         279         332         53
    89      89         89         1         279         488         209
    90      90         90         1         281         506         225
    91      91         91         1         286         456         170
    92      92         92         1         287         384         97
    93      93         93         1         288         441         153
    94      94         94         1         291         417         126
    95      95         95         1         299         362         63
    96      96         96         1         300         518         218
    97      97         97         1         300         476         176
    98      98         98         1         301         498         197
    99      99         99         1         302         454         152
    100      100         100         1         313         462         149
    101      101         101         1         314         361         47
    102      102         102         1         315         545         230
    103      103         103         1         315         510         195
    104      104         104         1         319         433         114
    105      105         105         1         326         521         195
    106      106         106         1         326         432         106
    107      107         107         1         335         434         99
    108      108         108         1         337         444         107
    109      109         109         1         341         391         50
    110      110         110         1         343         380         37
    111      111         111         1         345         540         195
    112      112         112         1         346         371         25
    113      113         113         1         351         402         51
    114      114         114         1         356         496         140
    115      115         115         1         357         527         170
    116      116         116         1         364         540         176
    117      117         117         1         365         458         93
    118      118         118         1         367         486         119
    119      119         119         1         369         475         106
    120      120         120         1         371         609         238
    121      121         121         1         375         483         108
    122      122         122         1         383         489         106
    123      123         123         1         384         452         68
    124      124         124         1         388         492         104
    125      125         125         1         393         493         100
    126      126         126         1         395         598         203
    127      127         127         1         409         514         105
    128      128         128         1         409         648         239
    129      129         129         1         410         489         79
    130      130         130         1         411         477         66
    131      131         131         1         411         449         38
    132      132         132         1         413         506         93
    133      133         133         1         413         537         124
    134      134         134         1         414         593         179
    135      135         135         1         419         519         100
    136      136         136         1         419         611         192
    137      137         137         1         425         491         66
    138      138         138         1         437         569         132
    139      139         139         1         438         658         220
    140      140         140         1         441         512         71
    141      141         141         1         444         541         97
    142      142         142         1         448         679         231
    143      143         143         1         448         503         55
    144      144         144         1         459         641         182
    145      145         145         1         464         603         139
    146      146         146         1         465         636         171
    147      147         147         1         467         599         132
    148      148         148         1         469         603         134
    149      149         149         1         470         609         139
    150      150         150         1         471         672         201
    151      151         151         1         474         512         38
    152      152         152         1         476         567         91
    153      153         153         1         480         554         74
    154      154         154         1         492         718         226
    155      155         155         1         493         515         22
    156      156         156         1         502         544         42
    157      157         157         1         508         549         41
    158      158         158         1         513         733         220
    159      159         159         1         522         756         234
    160      160         160         1         528         753         225
    161      161         161         1         531         652         121
    162      162         162         1         538         579         41
    163      163         163         1         541         737         196
    164      164         164         1         545         656         111
    165      165         165         1         546         695         149
    166      166         166         1         548         687         139
    167      167         167         1         550         571         21
    168      168         168         1         554         691         137
    169      169         169         1         555         760         205
    170      170         170         1         565         803         238
    171      171         171         1         565         669         104
    172      172         172         1         568         765         197
    173      173         173         1         571         615         44
    174      174         174         1         572         589         17
    175      175         175         1         574         703         129
    176      176         176         1         575         717         142
    177      177         177         1         577         611         34
    178      178         178         1         578         750         172
    179      179         179         1         579         744         165
    180      180         180         1         580         612         32
    181      181         181         1         590         813         223
    182      182         182         1         593         825         232
    183      183         183         1         595         786         191
    184      184         184         1         600         628         28
    185      185         185         1         603         777         174
    186      186         186         1         605         806         201
    187      187         187         1         607         624         17
    188      188         188         1         616         676         60
    189      189         189         1         619         636         17
    190      190         190         1         622         841         219
    191      191         191         1         622         850         228
