csp200

VEHICLE
NUMBER     CAPACITY
  1000      1000000

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      0         0         0         0         0         0
    1      1         1         1         16         255         239
    2      2         2         1         22         148         126
    3      3         3         1         33         124         91
    4      4         4         1         38         68         30
    5      5         5         1         48         153         105
    6      6         6         1         69         102         33
    7      7         7         1         77         269         192
    8      8         8         1         77         130         53
    9      9         9         1         85         264         179
    10      10         10         1         99         130         31
    11      11         11         1         106         331         225
    12      12         12         1         118         191         73
    13      13         13         1         120         331         211
    14      14         14         1         120         360         240
    15      15         15         1         125         239         114
    16      16         16         1         125         178         53
    17      17         17         1         130         198         68
    18      18         18         1         131         244         113
    19      19         19         1         131         352         221
    20      20         20         1         147         194         47
    21      21         21         1         182         336         154
    22      22         22         1         185         345         160
    23      23         23         1         196         217         21
    24      24         24         1         201         271         70
    25      25         25         1         202         372         170
    26      26         26         1         207         355         148
    27      27         27         1         207         337         130
    28      28         28         1         215         235         20
    29      29         29         1         227         456         229
    30      30         30         1         241         418         177
    31      31         31         1         242         437         195
    32      32         32         1         246         344         98
    33      33         33         1         247         385         138
    34      34         34         1         251         423         172
    35      35         35         1         265         318         53
    36      36         36         1         276         499         223
    37      37         37         1         278         303         25
    38      38         38         1         301         332         31
    39      39         39         1         306         358         52
    40      40         40         1         310         471         161
    41      41         41         1         318         418         100
    42      42         42         1         318         531         213
    43      43         43         1         327         474         147
    44      44         44         1         329         492         163
    45      45         45         1         331         455         124
    46      46         46         1         349         376         27
    47      47         47         1         376         611         235
    48      48         48         1         381         467         86
    49      49         49         1         381         408         27
    50      50         50         1         385         557         172
    51      51         51         1         390         550         160
    52      52         52         1         390         496         106
    53      53         53         1         393         534         141
    54      54         54         1         393         632         239
    55      55         55         1         407         562         155
    56      56         56         1         408         541         133
    57      57         57         1         411         617         206
    58      58         58         1         416         520         104
    59      59         59         1         418         640         222
    60      60         60         1         432         564         132
    61      61         61         1         454         550         96
    62      62         62         1         478         549         71
    63      63         63         1         484         633         149
    64      64         64         1         487         535         48
    65      65         65         1         507         664         157
    66      66         66         1         534         651         117
    67      67         67         1         539         567         28
    68      68         68         1         541         760         219
    69      69         69         1         543         651         108
    70      70         70         1         551         674         123
    71      71         71         1         552         750         198
    72      72         72         1         561         604         43
    73      73         73         1         566         656         90
    74      74         74         1         570         671         101
    75      75         75         1         610         771         161
    76      76         76         1         614         707         93
    77      77         77         1         620         673         53
    78      78         78         1         621         715         94
    79      79         79         1         621         663         42
    80      80         80         1         623         760         137
    81      81         81         1         639         795         156
    82      82         82         1         640         794         154
    83      83         83         1         652         701         49
    84      84         84         1         654         767         113
    85      85         85         1         656         851         195
    86      86         86         1         658         703         45
    87      87         87         1         662         801         139
    88      88         88         1         666         775         109
    89      89         89         1         683         914         231
    90      90         90         1         683         798         115
    91      91         91         1         687         890         203
    92      92         92         1         692         929         237
    93      93         93         1         695         769         74
    94      94         94         1         696         855         159
    95      95         95         1         703         791         88
    96      96         96         1         712         885         173
    97      97         97         1         720         811         91
    98      98         98         1         737         850         113
    99      99         99         1         737         962         225
    100      100         100         1         751         949         198
    101      101         101         1         757         869         112
    102      102         102         1         760         851         91
    103      103         103         1         760         991         231
    104      104         104         1         765         823         58
    105      105         105         1         766         954         188
    106      106         106         1         768         855         87
    107      107         107         1         775         998         223
    108      108         108         1         793         885         92
    109      109         109         1         795         1030         235
    110      110         110         1         795         935         140
    111      111         111         1         807         936         129
    112      112         112         1         814         1004         190
    113      113         113         1         816         994         178
    114      114         114         1         817         845         28
    115      115         115         1         822         1013         191
    116      116         116         1         823         1005         182
    117      117         117         1         829         858         29
    118      118         118         1         841         1047         206
    119      119         119         1         842         956         114
    120      120         120         1         854         1094         240
    121      121         121         1         870         1096         226
    122      122         122         1         878         1065         187
    123      123         123         1         881         977         96
    124      124         124         1         885         1104         219
    125      125         125         1         886         952         66
    126      126         126         1         888         925         37
    127      127         127         1         894         917         23
    128      128         128         1         896         1023         127
    129      129         129         1         897         937         40
    130      130         130         1         901         1117         216
    131      131         131         1         904         940         36
    132      132         132         1         916         1081         165
    133      133         133         1         918         941         23
    134      134         134         1         922         1018         96
    135      135         135         1         945         1105         160
    136      136         136         1         947         1185         238
    137      137         137         1         954         1126         172
    138      138         138         1         955         1117         162
    139      139         139         1         957         984         27
    140      140         140         1         975         1071         96
    141      141         141         1         976         1166         190
    142      142         142         1         976         1145         169
    143      143         143         1         990         1196         206
    144      144         144         1         1006         1156         150
    145      145         145         1         1017         1148         131
    146      146         146         1         1026         1176         150
    147      147         147         1         1030         1147         117
    148      148         148         1         1032         1248         216
    149      149         149         1         1035         1261         226
    150      150         150         1         1037         1065         28
    151      151         151         1         1047         1148         101
    152      152         152         1         1058         1169         111
    153      153         153         1         1077         1257         180
    154      154         154         1         1081         1156         75
    155      155         155         1         1084         1194         110
    156      156         156         1         1088         1308         220
    157      157         157         1         1090         1159         69
    158      158         158         1         1100         1280         180
    159      159         159         1         1130         1293         163
    160      160         160         1         1130         1264         134
    161      161         161         1         1139         1228         89
    162      162         162         1         1148         1202         54
    163      163         163         1         1149         1370         221
    164      164         164         1         1150         1374         224
    165      165         165         1         1150         1263         113
    166      166         166         1         1170         1296         126
    167      167         167         1         1172         1323         151
    168      168         168         1         1175         1269         94
    169      169         169         1         1187         1312         125
    170      170         170         1         1212         1399         187
    171      171         171         1         1215         1431         216
    172      172         172         1         1215         1259         44
    173      173         173         1         1227         1442         215
    174      174         174         1         1235         1422         187
    175      175         175         1         1278         1328         50
    176      176         176         1         1280         1418         138
    177      177         177         1         1299         1530         231
    178      178         178         1         1309         1344         35
    179      179         179         1         1318         1381         63
    180      180         180         1         1323         1380         57
    181      181         181         1         1327         1450         123
    182      182         182         1         1331         1459         128
    183      183         183         1         1339         1440         101
    184      184         184         1         1349         1529         180
